,stars,topics,days,forks_count,language_AsciiDoc,language_Assembly,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_CoffeeScript,language_Dart,language_Dockerfile,language_Elixir,language_Emacs Lisp,language_Go,language_HTML,language_Haskell,language_Java,language_JavaScript,language_Jinja,language_Julia,language_Jupyter Notebook,language_Kotlin,language_Lua,language_Makefile,language_Markdown,language_Nunjucks,language_OCaml,language_Objective-C,language_Objective-C++,language_PHP,language_Python,language_Roff,language_Ruby,language_Rust,language_SCSS,language_Scala,language_Shell,language_Standard ML,language_Swift,language_TeX,language_TypeScript,language_V,language_Vim Script,language_Vim script,language_Vue,language_Zig
language_SCSS,-0.022017056,0.010336341,-0.018933359,-0.021753784,-0.001388526,-0.001388526,-0.001388526,-0.007847364,-0.004836169,-0.010479714,-0.004836169,-0.001964637,-0.001388526,-0.002407361,-0.001388526,-0.001964637,-0.001388526,-0.012665742,-0.006732207,-0.002407361,-0.012215273,-0.024050383,-0.001388526,-0.001388526,-0.005036143,-0.005036143,-0.00311095,-0.001964637,-0.002407361,-0.001388526,-0.001388526,-0.00311095,-0.001388526,-0.005228849,-0.015410501,-0.001388526,-0.00594078,-0.006732207,1,-0.001388526,-0.006580929,-0.001388526,-0.00594078,-0.002781149,-0.015014996,-0.001388526,-0.001964637,-0.002407361,-0.003940904,-0.001388526
language_Scala,-0.001636016,0.00730531,0.015199345,0.069958754,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,1,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Shell,0.016475199,0.011569738,0.025121293,-0.035746695,-0.004651135,-0.004651135,-0.004651135,-0.026286258,-0.01619968,-0.035103821,-0.01619968,-0.006580929,-0.004651135,-0.00806392,-0.004651135,-0.006580929,-0.004651135,-0.042426342,-0.022550824,-0.00806392,-0.040917411,-0.08056139,-0.004651135,-0.004651135,-0.016869531,-0.016869531,-0.010420728,-0.006580929,-0.00806392,-0.004651135,-0.004651135,-0.010420728,-0.004651135,-0.017515039,-0.051620442,-0.004651135,-0.019899789,-0.022550824,-0.006580929,-0.004651135,1,-0.004651135,-0.019899789,-0.009315994,-0.050295621,-0.004651135,-0.006580929,-0.00806392,-0.013200817,-0.004651135
language_Standard ML,-0.014734039,-0.037752383,-0.029606988,-0.009047645,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,1,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Swift,-0.04658226,0.019206968,-0.020855735,-0.051411672,-0.004198704,-0.004198704,-0.004198704,-0.023729309,-0.014623885,-0.031689159,-0.014623885,-0.00594078,-0.004198704,-0.007279517,-0.004198704,-0.00594078,-0.004198704,-0.038299395,-0.020357232,-0.007279517,-0.036937243,-0.072724924,-0.004198704,-0.004198704,-0.015228577,-0.015228577,-0.00940707,-0.00594078,-0.007279517,-0.004198704,-0.004198704,-0.00940707,-0.004198704,-0.015811294,-0.046599155,-0.004198704,-0.017964072,-0.020357232,-0.00594078,-0.004198704,-0.019899789,-0.004198704,1,-0.008409797,-0.045403203,-0.004198704,-0.00594078,-0.007279517,-0.011916731,-0.004198704
language_TeX,-0.01298421,-0.067155376,-0.040756955,0.00629185,-0.001965604,-0.001965604,-0.001965604,-0.011108767,-0.006846104,-0.014835133,-0.006846104,-0.002781149,-0.001965604,-0.003407872,-0.001965604,-0.002781149,-0.001965604,-0.017929685,-0.009530144,-0.003407872,-0.017292,-0.034045838,-0.001965604,-0.001965604,-0.007129188,-0.007129188,-0.004403876,-0.002781149,-0.003407872,-0.001965604,-0.001965604,-0.004403876,-0.001965604,-0.007401984,-0.021815179,-0.001965604,-0.008409797,-0.009530144,-0.002781149,-0.001965604,-0.009315994,-0.001965604,-0.008409797,1,-0.0212553,-0.001965604,-0.002781149,-0.003407872,-0.005578763,-0.001965604
language_TypeScript,0.038249214,0.103358703,-0.134240836,-0.051047746,-0.010611994,-0.010611994,-0.010611994,-0.059974523,-0.036961064,-0.080092605,-0.036961064,-0.015014996,-0.010611994,-0.018398578,-0.010611994,-0.015014996,-0.010611994,-0.096799612,-0.051451784,-0.018398578,-0.093356848,-0.183808244,-0.010611994,-0.010611994,-0.038489391,-0.038489391,-0.023775852,-0.015014996,-0.018398578,-0.010611994,-0.010611994,-0.023775852,-0.010611994,-0.039962176,-0.1177768,-0.010611994,-0.045403203,-0.051451784,-0.015014996,-0.010611994,-0.050295621,-0.010611994,-0.045403203,-0.0212553,1,-0.010611994,-0.015014996,-0.018398578,-0.030118881,-0.010611994
language_V,-0.005419794,-0.015223537,-0.040816313,-0.017853188,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,1,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Vim Script,0.011261232,-0.009586312,0.010223929,-0.013248938,-0.001388526,-0.001388526,-0.001388526,-0.007847364,-0.004836169,-0.010479714,-0.004836169,-0.001964637,-0.001388526,-0.002407361,-0.001388526,-0.001964637,-0.001388526,-0.012665742,-0.006732207,-0.002407361,-0.012215273,-0.024050383,-0.001388526,-0.001388526,-0.005036143,-0.005036143,-0.00311095,-0.001964637,-0.002407361,-0.001388526,-0.001388526,-0.00311095,-0.001388526,-0.005228849,-0.015410501,-0.001388526,-0.00594078,-0.006732207,-0.001964637,-0.001388526,-0.006580929,-0.001388526,-0.00594078,-0.002781149,-0.015014996,-0.001388526,1,-0.002407361,-0.003940904,-0.001388526
language_Vim script,-0.016156752,-0.062198355,0.062661297,-0.018681323,-0.001701426,-0.001701426,-0.001701426,-0.009615743,-0.005925984,-0.012841284,-0.005925984,-0.002407361,-0.001701426,-0.002949853,-0.001701426,-0.002407361,-0.001701426,-0.015519927,-0.008249288,-0.002949853,-0.014967947,-0.029470061,-0.001701426,-0.001701426,-0.006171022,-0.006171022,-0.003811993,-0.002407361,-0.002949853,-0.001701426,-0.001701426,-0.003811993,-0.001701426,-0.006407154,-0.018883209,-0.001701426,-0.007279517,-0.008249288,-0.002407361,-0.001701426,-0.00806392,-0.001701426,-0.007279517,-0.003407872,-0.018398578,-0.001701426,-0.002407361,1,-0.004828974,-0.001701426
language_Vue,0.005528926,0.078680587,-0.074330067,0.017550041,-0.002785272,-0.002785272,-0.002785272,-0.015741186,-0.009700968,-0.021021469,-0.009700968,-0.003940904,-0.002785272,-0.004828974,-0.002785272,-0.003940904,-0.002785272,-0.025406466,-0.013504269,-0.004828974,-0.024502862,-0.048243146,-0.002785272,-0.002785272,-0.0101021,-0.0101021,-0.006240318,-0.003940904,-0.004828974,-0.002785272,-0.002785272,-0.006240318,-0.002785272,-0.010488654,-0.030912233,-0.002785272,-0.011916731,-0.013504269,-0.003940904,-0.002785272,-0.013200817,-0.002785272,-0.011916731,-0.005578763,-0.030118881,-0.002785272,-0.003940904,-0.004828974,1,-0.002785272
language_Zig,-0.002907991,0.029834156,-0.065464441,-0.021883459,-0.000981354,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,1
